BubbleName	BubbleType	UserType	Members	Admins	Invitees
Oxford Classifieds	resource	NetID	HKHAYRE		
Oxford Classifieds	resource	NetID	NKUMARA		
Oxford Classifieds	resource	NetID	CLUSHER		
Oxford Classifieds	resource	NetID	TBARON		
Oxford Classifieds	resource	NetID	YZHU73		
Oxford Classifieds	resource	NetID	CDONEGA		
Oxford Classifieds	resource	NetID	SJIN27		
Oxford Classifieds	resource	NetID	ZWAN238		
Oxford Classifieds	resource	NetID	YLU68		
Oxford Classifieds	resource	NetID	APOULOS		
Oxford Classifieds	resource	NetID	NQIU		
Oxford Classifieds	resource	NetID	YWU88		
Oxford Classifieds	resource	NetID	WCAI5		
Oxford Classifieds	resource	NetID	YJIAN64		
Oxford Classifieds	resource	NetID	SRKISHO		
Oxford Classifieds	resource	NetID	RWANG47		
Oxford Classifieds	resource	NetID	YWAN428		
Oxford Classifieds	resource	NetID	DXU33		
Oxford Classifieds	resource	NetID	YYAN242		
Oxford Classifieds	resource	NetID	YSUN64		
Oxford Classifieds	resource	NetID	XLI2257		
Oxford Classifieds	resource	NetID	SEBO		
Oxford Classifieds	resource	NetID	JBRUEMM		
Oxford Classifieds	resource	NetID	QCAI3		
Oxford Classifieds	resource	NetID	SSHAH68		
Oxford Classifieds	resource	NetID	WZHAN82		
Oxford Classifieds	resource	NetID	LWAN233		
Oxford Classifieds	resource	NetID	AWANG42		
Oxford Classifieds	resource	NetID	DNTROTT		
Oxford Classifieds	resource	NetID	MBENEVO		
Oxford Classifieds	resource	NetID	LALHELA		
Oxford Classifieds	resource	NetID	KBAE4		
Oxford Classifieds	resource	NetID	WCHEN67		
Oxford Classifieds	resource	NetID	GCORRIG		
Oxford Classifieds	resource	NetID	DTFANG		
Oxford Classifieds	resource	NetID	ZGAO9		
Oxford Classifieds	resource	NetID	CGU4		
Oxford Classifieds	resource	NetID	XHUAN52		
Oxford Classifieds	resource	NetID	XJI9		
Oxford Classifieds	resource	NetID	YJI25		
Oxford Classifieds	resource	NetID	YJIAN66		
Oxford Classifieds	resource	NetID	DKANG36		
Oxford Classifieds	resource	NetID	SLEE742		
Oxford Classifieds	resource	NetID	RLIAO2		
Oxford Classifieds	resource	NetID	CLIU77		
Oxford Classifieds	resource	NetID	JLIU232		
Oxford Classifieds	resource	NetID	SMAGAM		
Oxford Classifieds	resource	NetID	DMICHA3		
Oxford Classifieds	resource	NetID	DMMITC2		
Oxford Classifieds	resource	NetID	HMOON29		
Oxford Classifieds	resource	NetID	DMMORGE		
Oxford Classifieds	resource	NetID	JPAR549		
Oxford Classifieds	resource	NetID	YQIAO6		
Oxford Classifieds	resource	NetID	SSHAN4		
Oxford Classifieds	resource	NetID	JSOHN7		
Oxford Classifieds	resource	NetID	HTAO3		
Oxford Classifieds	resource	NetID	SVALLAP		
Oxford Classifieds	resource	NetID	MWU34		
Oxford Classifieds	resource	NetID	YWU89		
Oxford Classifieds	resource	NetID	ZXIE8		
Oxford Classifieds	resource	NetID	MYANG47		
Oxford Classifieds	resource	NetID	AZHAN33		
Oxford Classifieds	resource	NetID	RZHAN36		
Oxford Classifieds	resource	NetID	YZHA367		
Oxford Classifieds	resource	NetID	YZHA368		
Oxford Classifieds	resource	NetID	ZZHOU46		
Oxford Classifieds	resource	NetID	YZHU72		
Oxford Classifieds	resource	NetID	SAN26		
Oxford Classifieds	resource	NetID	BHAKTAN		
Oxford Classifieds	resource	NetID	MLIAN		
Oxford Classifieds	resource	NetID	IPRAKAS		
Oxford Classifieds	resource	NetID	ARABL		
Oxford Classifieds	resource	NetID	WGUO9		
Oxford Classifieds	resource	NetID	RHENKIN		
Oxford Classifieds	resource	NetID	KPATE58		
Oxford Classifieds	resource	NetID	RXLU		
Oxford Classifieds	resource	NetID	YHU56		
Oxford Classifieds	resource	NetID	DCHEN59		
Oxford Classifieds	resource	NetID	ASING79		
Oxford Classifieds	resource	NetID	MLIU55		
Oxford Classifieds	resource	NetID	AMEI		
Oxford Classifieds	resource	NetID	RHERRM2		
Oxford Classifieds	resource	NetID	BCHANG7		
Oxford Classifieds	resource	NetID	DSHIN38		
Oxford Classifieds	resource	NetID	SABUZAR		
Oxford Classifieds	resource	NetID	ADADA2		
Oxford Classifieds	resource	NetID	SKRAMAN		
Oxford Classifieds	resource	NetID	AKRIS22		
Oxford Classifieds	resource	NetID	AWENDE2		
Oxford Classifieds	resource	NetID	EMNORMA		
Oxford Classifieds	resource	NetID	YLI2336		
Oxford Classifieds	resource	NetID	YLIU329		
Oxford Classifieds	resource	NetID	HPAR246		
Oxford Classifieds	resource	NetID	DMASRI		
Oxford Classifieds	resource	NetID	RAANDRA		
Oxford Classifieds	resource	NetID	AGBURNS		
Oxford Classifieds	resource	NetID	YQIU24		
Oxford Classifieds	resource	NetID	TSUN25		
Oxford Classifieds	resource	NetID	JXU83		
Oxford Classifieds	resource	NetID	ACAMILO		
Oxford Classifieds	resource	NetID	MHE24		
Oxford Classifieds	resource	NetID	THKWON		
Oxford Classifieds	resource	NetID	IZESSLE		
Oxford Classifieds	resource	NetID	EBAKER6		
Oxford Classifieds	resource	NetID	MLDESIM		
Oxford Classifieds	resource	NetID	XDIAZ		
Oxford Classifieds	resource	NetID	MHOQ		
Oxford Classifieds	resource	NetID	CFHSU		
Oxford Classifieds	resource	NetID	YAJANG2		
Oxford Classifieds	resource	NetID	YJIN44		
Oxford Classifieds	resource	NetID	SJIWAN3		
Oxford Classifieds	resource	NetID	EHJUN		
Oxford Classifieds	resource	NetID	AKERVIN		
Oxford Classifieds	resource	NetID	JPKLUG		
Oxford Classifieds	resource	NetID	JHLEE24		
Oxford Classifieds	resource	NetID	MMART34		
Oxford Classifieds	resource	NetID	ANATH3		
Oxford Classifieds	resource	NetID	SSAMAN4		
Oxford Classifieds	resource	NetID	SLWU		
Oxford Classifieds	resource	NetID	DZHENG9		
Oxford Classifieds	resource	NetID	CWZHU		
Oxford Classifieds	resource	NetID	NMAROUL		
Oxford Classifieds	resource	NetID	DCRUZ2		
Oxford Classifieds	resource	NetID	SLI2223		
Oxford Classifieds	resource	NetID	GMONTGO		
Oxford Classifieds	resource	NetID	QQNGUYE		
Oxford Classifieds	resource	NetID	MTHULE		
Oxford Classifieds	resource	NetID	SCROOKS		
Oxford Classifieds	resource	NetID	JCPOTTS		
Oxford Classifieds	resource	NetID	EYJOUNG		
Oxford Classifieds	resource	NetID	SPAR466		
Oxford Classifieds	resource	NetID	LAMATHE		
Oxford Classifieds	resource	NetID	XWAN364		
Oxford Classifieds	resource	NetID	MDELIYI		
